func,type,x1,x2,p,w,L
lowheight,1,2600,1000,50,30,163.1738007
lowheight,1,2600,1000,75,20,167.8952289
lowheight,1,2600,1000,75,30,167.8952289
lowheight,1,2600,1000,90,20,172.1446616
lowheight,1,2600,1000,90,30,172.1446616
lowheight,1,2600,1000,95,20,174.687776
lowheight,1,2600,1000,95,30,174.687776
lowheight,1,2600,2000,5,20,163.7010251
lowheight,1,2600,2000,5,30,163.7010251
lowheight,1,2600,2000,10,20,166.2441395
lowheight,1,2600,2000,10,30,166.2441395
lowheight,1,2600,2000,25,20,170.4935722
lowheight,1,2600,2000,25,30,170.4935722
lowheight,1,2600,2000,50,20,175.2150005
lowheight,1,2600,2000,50,30,175.2150005
lowheight,1,2600,2000,75,20,179.9364287
lowheight,1,2600,2000,75,30,179.9364287
lowheight,1,2600,2000,90,20,184.1858614
lowheight,1,2600,2000,90,30,184.1858614
lowheight,1,2600,2000,95,20,186.7289759
lowheight,1,2600,2000,95,30,186.7289759
lowheight,1,3000,5,5,20,46.59779998
lowheight,1,3000,5,5,30,46.59779998
lowheight,1,3000,5,10,20,48.11530496
lowheight,1,3000,5,10,30,48.11530496
lowheight,1,3000,5,25,20,51.3907017
lowheight,1,3000,5,25,30,51.3907017
lowheight,1,3000,5,50,20,55.9719348
lowheight,1,3000,5,50,30,55.9719348
lowheight,1,3000,5,75,20,61.3058034
lowheight,1,3000,5,75,30,61.3058034
lowheight,1,3000,5,90,20,66.5648381
lowheight,1,3000,5,90,30,66.5648381
lowheight,1,3000,5,95,20,69.8653544
lowheight,1,3000,5,95,30,69.8653544
lowheight,1,3000,10,5,20,52.61839989
lowheight,1,3000,10,5,30,52.61839989
lowheight,1,3000,10,10,20,54.13590487
lowheight,1,3000,10,10,30,54.13590487
lowheight,1,3000,10,25,20,57.41130161
lowheight,1,3000,10,25,30,57.41130161
lowheight,1,3000,10,50,20,61.99253471
lowheight,1,3000,10,50,30,61.99253471
lowheight,1,3000,10,75,20,67.32640332
lowheight,1,3000,10,75,30,67.32640332
lowheight,1,3000,10,90,20,72.58543801
lowheight,1,3000,10,90,30,72.58543801
lowheight,1,3000,10,95,20,75.88595431
lowheight,1,3000,10,95,30,75.88595431
lowheight,1,3000,50,5,20,66.59779998
lowheight,1,3000,50,5,30,66.59779998
lowheight,1,3000,50,10,20,68.11530496
lowheight,1,3000,50,10,30,68.11530496
lowheight,1,3000,50,25,20,71.3907017
lowheight,1,3000,50,25,30,71.3907017
lowheight,1,3000,50,50,20,87.47853457
lowheight,1,3000,50,50,30,83.77220239
lowheight,1,3000,50,75,20,118.6506849
lowheight,1,3000,50,75,30,110.7899912
lowheight,1,3000,50,90,20,122.9001176
lowheight,1,3000,50,90,30,122.9001176
lowheight,1,3000,50,95,20,125.443232
lowheight,1,3000,50,95,30,125.443232
lowheight,1,3000,100,5,20,72.61839989
lowheight,1,3000,100,5,30,72.61839989
lowheight,1,3000,100,10,20,74.13590487
lowheight,1,3000,100,10,30,74.13590487
lowheight,1,3000,100,25,20,77.41130161
lowheight,1,3000,100,25,30,77.41130161
lowheight,1,3000,100,50,20,125.9704565
lowheight,1,3000,100,50,30,125.9704565
